16 4330 15933
0 274 -0.0496672 -0.293577
1 274 -0.00543136 -0.309056
0 275 -0.0275493 -0.293577
1 275 0.0144748 -0.309056
0 276 -0.0983267 -0.289155
1 276 -0.0540908 -0.304634
0 277 -0.0762088 -0.289155
1 277 -0.0297611 -0.304634
0 278 -0.104962 -0.282521
1 278 -0.0607262 -0.298
0 279 -0.085056 -0.282521
1 279 -0.0386083 -0.298
0 280 -0.100539 -0.278098
1 280 -0.0540908 -0.293577
0 281 -0.0916913 -0.278098
1 281 -0.0474555 -0.293577
0 282 -0.0651498 -0.275887
1 282 -0.0187021 -0.291366
0 283 -0.0916913 -0.269253
1 283 -0.0452437 -0.284732
0 284 -0.0806324 -0.267042
1 284 -0.0341847 -0.282521
0 285 -0.0673616 -0.267042
1 285 -0.0209139 -0.282521
0 286 -0.0939031 -0.255985
1 286 -0.0474555 -0.271464
0 287 -0.0894795 -0.253774
1 287 -0.0430319 -0.271464
0 288 -0.100539 -0.251563
1 288 -0.0540908 -0.269253
0 289 -0.0585144 -0.251563
1 289 -0.0142785 -0.267042
0 290 0.00120402 -0.251563
1 290 0.0388045 -0.271464
0 291 -0.0872677 -0.249352
1 291 -0.0408201 -0.267042
0 292 -0.0762088 -0.24714
1 292 -0.0297611 -0.262619
0 293 -0.0695734 -0.24714
1 293 -0.0231257 -0.26483
0 294 -0.104962 -0.244929
1 294 -0.0607262 -0.262619
0 295 -0.00764316 -0.244929
1 295 0.0321691 -0.26483
0 296 -0.0651498 -0.242718
1 296 -0.0164903 -0.260408
0 297 -0.00543136 -0.240506
1 297 0.0365927 -0.258197
0 298 -0.0872677 -0.238295
1 298 -0.0408201 -0.255985
0 299 -0.0762088 -0.238295
1 299 -0.0297611 -0.255985
0 300 -0.0939031 -0.233873
1 300 -0.0496672 -0.251563
0 301 -0.00985495 -0.231661
1 301 0.0321691 -0.251563
0 302 -0.0828442 -0.22945
1 302 -0.0363965 -0.24714
0 303 -0.0872677 -0.222816
1 303 -0.0452437 -0.242718
0 304 -0.0452437 -0.222816
1 304 -0.00100778 -0.242718
0 305 -0.0363965 -0.220605
1 305 0.0078394 -0.240506
0 306 -0.0231257 -0.220605
1 306 0.0166866 -0.240506
0 307 -0.0762088 -0.218394
1 307 -0.0319729 -0.236084
0 308 -0.0894795 -0.213971
1 308 -0.0452437 -0.231661
0 309 -0.0828442 -0.209548
1 309 -0.0363965 -0.22945
0 310 -0.0762088 -0.209548
1 310 -0.0319729 -0.227239
0 311 -0.0341847 -0.209548
1 311 0.0078394 -0.22945
0 312 -0.0961149 -0.200703
1 312 -0.0496672 -0.220605
0 313 -0.100539 -0.185224
1 313 -0.051879 -0.205126
0 314 -0.073997 -0.180802
1 314 -0.0275493 -0.200703
0 315 -0.0784206 -0.17859
1 315 -0.0341847 -0.200703
0 316 -0.073997 -0.174168
1 316 -0.0275493 -0.194069
0 317 -0.062938 -0.174168
1 317 -0.0187021 -0.194069
0 318 -0.0408201 -0.167534
1 318 0.00120402 -0.189647
0 319 -0.0430319 -0.156478
